id,x animation,y animation,z animation,x simulation, y simulation,z simulation,vitesse animation,EC animation,ECA animation,EP animation,vitesse simulation,EC simulation,ECA simulation,EP simulation,travail,erreur
head,0,2.688,0,0,2.97278,0,3,44.604,0,-261.106,0.653333,2.11544,0,-261.106,-70.1512,0.219248
head,0,2.319,0,0,2.33083,0,3.20001,50.7497,0,-225.262,3.98,78.505,0,-225.262,26.6059,2.11673
head,0,1.989,0,0.00558481,2.33743,-0.00969161,3.6,64.2298,0,-193.207,0.194343,0.187183,0,-193.207,-97.8885,1.29777
head,0,1.617,0,0.0396302,2.27945,-0.0162994,3,44.604,0,-157.072,0.440255,0.960592,0,-157.072,-107.992,0.992792
head,0,1.272,0,0.0630556,2.20475,-0.0140042,3,44.604,0,-123.559,0.664504,2.1884,0,-123.559,-133.021,0.874513
head,0,0.882,0,0.0145753,2.16843,-0.0146933,3.00001,44.6042,0,-85.6754,0.283473,0.39825,0,-85.6754,-169.167,0.727801
head,0,0.537,0,0.00795555,2.10372,-0.00455705,2.99998,44.6034,0,-52.1629,0.187095,0.173483,0,-52.1629,-196.617,0.629481
head,0,0.186,0,0.00955905,2.04624,-0.00321032,3.00001,44.6042,0,-18.0676,0.195397,0.18922,0,-18.0676,-225.114,0.556534
head,0.452576,0.268562,0.169965,0.0119421,1.99363,-0.000499009,7.90039,309.334,0,-26.0874,0.197821,0.193944,0,-26.0874,-476.71,0.495773
head,1.20256,0.713606,0.451622,1.20687,2.27381,0.453241,7.90039,309.335,0,-69.318,7.41285,272.334,0,-69.318,-188.555,1.21274
head,1.95901,1.16249,0.735707,1.95685,2.31457,0.734898,7.90039,309.334,0,-112.921,7.41285,272.334,0,-112.921,-148.911,1.79443
head,2.72192,1.61521,1.02222,2.7133,2.4275,1.01898,7.90039,309.334,0,-156.897,7.41285,272.334,0,-156.897,-115.905,2.27347
head,3.47191,2.06025,1.30388,3.47622,2.51801,1.30549,7.90037,309.333,0,-200.128,7.41285,272.334,0,-200.128,-81.4644,2.67371
head,4.24775,2.52064,1.59525,4.2262,2.65618,1.58715,7.90039,309.334,0,-244.849,7.41283,272.333,0,-244.849,-50.1672,3.0128
head,4.98481,2.95801,1.87205,5.00205,2.89202,1.87852,7.90041,309.336,0,-287.334,7.41285,272.334,0,-287.334,-30.5923,3.29924
head,5.63781,3.34551,2.11728,5.63135,3.28451,2.11485,7.90038,309.333,0,-324.975,7.47376,276.828,0,-324.975,-26.58,3.51539
head,6.38779,3.79055,2.39894,6.3921,3.71689,2.40056,7.90036,309.332,0,-368.205,7.41284,272.333,0,-368.205,-29.8434,3.73528
head,6.46538,4.55847,2.42808,7.14208,4.16193,2.68221,6.87499,234.247,0,-442.799,7.41282,272.332,0,-442.799,76.6026,3.9268
head,6.46538,5.34909,2.42808,6.46538,5.28433,2.42808,6.87501,234.249,0,-519.598,5.73165,162.814,0,-519.598,-65.1442,4.02232
head,6.46538,6.14659,2.42808,6.46538,6.07496,2.42808,6.87497,234.247,0,-597.065,5.73168,162.815,0,-597.065,-64.4729,4.10656
head,6.46538,6.95784,2.42808,6.46538,6.87245,2.42808,6.87498,234.247,0,-675.868,5.73164,162.813,0,-675.868,-63.1394,4.18147
head,6.46538,7.76222,2.42808,6.46538,7.6837,2.42808,6.87501,234.249,0,-754.003,5.73165,162.814,0,-754.003,-63.8086,4.24761
head,6.46538,8.56659,2.42808,6.46538,8.48808,2.42808,6.87498,234.247,0,-832.138,5.73167,162.815,0,-832.138,-63.8057,4.30621
head,6.46538,9.37097,2.42808,6.46538,9.29245,2.42808,6.87498,234.247,0,-910.273,5.73165,162.814,0,-910.273,-63.807,4.35839
head,6.46538,10.1753,2.42808,6.46538,10.0968,2.42808,6.87498,234.247,0,-988.408,5.73165,162.814,0,-988.408,-63.807,4.40451
